GET /users/new 304 - - 4.945 ms
GET /users/new 304 - - 3.426 ms
POST /users/new 400 114 - 45.803 ms
POST /users/new 200 36 - 5.666 ms
POST /users/new 201 191 - 49.292 ms
POST /users/new 400 118 - 8.313 ms
POST /users/new 400 118 - 4.611 ms
POST /users/new 400 195 - 33.358 ms
POST /users/new 400 139 - 33.510 ms
POST /users/new 400 142 - 6.300 ms
::1 - - [07/Aug/2022:11:29:33 +0000] "POST /tickets/62ef95a677e197d4f8a2723f/delete HTTP/1.1" 403 49 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:39:58 +0000] "POST /tickets/62ef8929149e91e25f0ffa84/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:40:13 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:41:05 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:41:38 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:42:44 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:43:12 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:43:37 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:44:48 +0000] "POST /tickets/62ef958c77e197d4f8a2723c/markasclosed HTTP/1.1" 200 36 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:50:39 +0000] "POST /tickets/62ef95b877e197d4f8a27242/markasclosed HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:11:12 +0000] "POST /users/new HTTP/1.1" 201 191 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:11:39 +0000] "POST /users/new HTTP/1.1" 201 191 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:12:04 +0000] "POST /users/new HTTP/1.1" 201 195 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:12:24 +0000] "POST /users/new HTTP/1.1" 201 193 "-" "PostmanRuntime/7.29.0"
